state_soi,state_name,state_abbrev,state_fips
1,ALABAMA,AL,1
2,ALASKA,AK,2
3,ARIZONA,AZ,4
4,ARKANSAS,AR,5
5,CALIFORNIA,CA,6
6,COLORADO,CO,8
7,CONNECTICUT,CT,9
8,DELAWARE,DE,10
9,DISTRICT OF COLUMBIA,DC,11
10,FLORIDA,FL,12
11,GEORGIA,GA,13
12,HAWAII,HI,15
13,IDAHO,ID,16
14,ILLINOIS,IL,17
15,INDIANA,IN,18
16,IOWA,IA,19
17,KANSAS,KS,20
18,KENTUCKY,KY,21
19,LOUISIANA,LA,22
20,MAINE,ME,23
21,MARYLAND,MD,24
22,MASSACHUSETTS,MA,25
23,MICHIGAN,MI,26
24,MINNESOTA,MN,27
25,MISSISSIPPI,MS,28
26,MISSOURI,MO,29
27,MONTANA,MT,30
28,NEBRASKA,NE,31
29,NEVADA,NV,32
30,NEW HAMPSHIRE,NH,33
31,NEW JERSEY,NJ,34
32,NEW MEXICO,NM,35
33,NEW YORK,NY,36
34,NORTH CAROLINA,NC,37
35,NORTH DAKOTA,ND,38
36,OHIO,OH,39
37,OKLAHOMA,OK,40
38,OREGON,OR,41
39,PENNSYLVANIA,PA,42
40,RHODE ISLAND,RI,44
41,SOUTH CAROLINA,SC,45
42,SOUTH DAKOTA,SD,46
43,TENNESSEE,TN,47
44,TEXAS,TX,48
45,UTAH,UT,49
46,VERMONT,VT,50
47,VIRGINIA,VA,51
48,WASHINGTON,WA,53
49,WEST VIRGINIA,WV,54
50,WISCONSIN,WI,55
51,WYOMING,WY,56
