year,mstat,depx,state_soi,plateau,phasein,phaseout,maxagi,plateau_state,phasein_state,phaseout_state,state_name,state_fips,ratein,rateout
2007,1,3,1,4716,11800,15300,37700,0,0,0,ALABAMA,1,.399661,.21053572
2002,1,0,1,376,5000,6000,10900,0,0,0,ALABAMA,1,.075199999,.076734692
1983,2,2,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
1984,2,2,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
1988,2,2,1,874,6300,9800,18500,0,0,0,ALABAMA,1,.13873015,.10045977
2010,1,1,1,3050,9000,16400,35500,0,0,0,ALABAMA,1,.33888888,.15968587
1998,1,0,1,341,4500,5600,10000,0,0,0,ALABAMA,1,.075777777,.077500001
2016,2,0,1,506,6700,13800,20400,0,0,0,ALABAMA,1,.075522386,.076666668
2021,1,3,1,6728,15000,19500,51400,0,0,0,ALABAMA,1,.44853333,.21090908
1992,2,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
2004,1,3,1,4300,10800,14000,34400,0,0,0,ALABAMA,1,.39814815,.21078432
2005,2,0,1,399,5300,8500,13700,0,0,0,ALABAMA,1,.075283021,.076730773
1985,1,2,1,550,5000,6500,11000,0,0,0,ALABAMA,1,.11,.12222222
1996,1,3,1,3556,8900,11600,28400,0,0,0,ALABAMA,1,.39955056,.21166667
1988,1,1,1,874,6300,9800,18500,0,0,0,ALABAMA,1,.13873015,.10045977
1995,1,0,1,314,4200,5100,9200,0,0,0,ALABAMA,1,.074761905,.076585367
1979,2,2,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
2014,1,1,1,3305,9800,17800,38500,0,0,0,ALABAMA,1,.3372449,.15966183
2000,1,0,1,353,4700,5800,10400,0,0,0,ALABAMA,1,.075106382,.076739132
2020,1,0,1,538,7100,8700,15800,0,0,0,ALABAMA,1,.075774647,.075774647
2009,1,0,1,457,6000,7400,13400,0,0,0,ALABAMA,1,.076166667,.076166667
1996,2,2,1,3556,8900,11600,28500,0,0,0,ALABAMA,1,.39955056,.2104142
1999,2,2,1,3816,9600,12500,30600,0,0,0,ALABAMA,1,.39750001,.21082874
2009,1,2,1,5028,12600,16400,40200,0,0,0,ALABAMA,1,.39904761,.2112605
1984,1,2,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
2019,1,3,1,6557,14600,19000,50100,0,0,0,ALABAMA,1,.44910958,.21083601
2017,1,0,1,510,6700,8300,15000,0,0,0,ALABAMA,1,.076119401,.076119401
1979,2,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
1982,1,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
2012,2,0,1,475,6300,13000,19200,0,0,0,ALABAMA,1,.075396828,.076612905
1993,2,3,1,1511,7800,12200,23000,0,0,0,ALABAMA,1,.19371794,.1399074
2007,2,0,1,428,5600,9000,14500,0,0,0,ALABAMA,1,.07642857,.077818185
1999,1,2,1,3816,9600,12400,30500,0,0,0,ALABAMA,1,.39750001,.21082874
2013,1,0,1,487,6400,7900,14300,0,0,0,ALABAMA,1,.076093748,.076093748
1996,1,1,1,2152,6400,11600,25000,0,0,0,ALABAMA,1,.33625001,.16059701
1980,1,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
1982,2,2,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
1990,2,2,1,953,6900,10700,20200,0,0,0,ALABAMA,1,.13811594,.10031579
1979,1,2,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
2017,2,0,1,510,6700,13900,20500,0,0,0,ALABAMA,1,.076119401,.077272728
2009,2,3,1,5657,12600,21400,48200,0,0,0,ALABAMA,1,.44896826,.21108209
2002,2,0,1,376,5000,7000,11900,0,0,0,ALABAMA,1,.075199999,.076734692
2017,2,1,1,3400,10000,23900,45200,0,0,0,ALABAMA,1,.34,.15962441
1982,2,3,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
1982,1,2,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
2013,1,3,1,6044,13500,17500,46200,0,0,0,ALABAMA,1,.44770369,.21059233
2005,1,2,1,4400,11000,14300,35200,0,0,0,ALABAMA,1,.40000001,.21052632
1989,2,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
1998,1,3,1,3756,9400,12200,30000,0,0,0,ALABAMA,1,.39957446,.21101123
1983,2,3,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
1979,2,1,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
2017,1,1,1,3400,10000,18300,39600,0,0,0,ALABAMA,1,.34,.15962441
1998,1,1,1,2271,6700,12200,26400,0,0,0,ALABAMA,1,.33895522,.15992957
2002,2,1,1,2506,7400,14500,30200,0,0,0,ALABAMA,1,.33864865,.15961784
1985,2,2,1,550,5000,6500,11000,0,0,0,ALABAMA,1,.11,.12222222
2017,1,3,1,6318,14100,18300,48300,0,0,0,ALABAMA,1,.4480851,.2106
2001,1,1,1,2428,7200,13000,28200,0,0,0,ALABAMA,1,.33722222,.15973684
1999,2,3,1,3816,9600,12500,30600,0,0,0,ALABAMA,1,.39750001,.21082874
2014,1,0,1,496,6500,8100,14500,0,0,0,ALABAMA,1,.076307692,.077500001
1987,2,2,1,851,6100,6900,15400,0,0,0,ALABAMA,1,.1395082,.10011765
1994,2,0,1,306,4000,5000,8900,0,0,0,ALABAMA,1,.076499999,.078461535
2010,2,1,1,3050,9000,21400,40500,0,0,0,ALABAMA,1,.33888888,.15968587
1986,2,3,1,550,5000,6500,11000,0,0,0,ALABAMA,1,.11,.12222222
1991,2,1,1,1192,7200,11200,21200,0,0,0,ALABAMA,1,.16555555,.1192
1997,1,0,1,332,4400,5400,9700,0,0,0,ALABAMA,1,.075454548,.077209301
1998,1,2,1,3756,9400,12200,30000,0,0,0,ALABAMA,1,.39957446,.21101123
1985,2,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
1984,2,3,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
1986,1,2,1,550,5000,6500,11000,0,0,0,ALABAMA,1,.11,.12222222
2001,1,2,1,4008,10100,13000,32100,0,0,0,ALABAMA,1,.39683169,.20984294
1988,1,3,1,874,6300,9800,18500,0,0,0,ALABAMA,1,.13873015,.10045977
2019,2,3,1,6557,14600,24800,55900,0,0,0,ALABAMA,1,.44910958,.21083601
1993,1,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
2022,2,0,1,1502,10200,18000,28200,0,0,0,ALABAMA,1,.1472549,.1472549
2017,1,2,1,5616,14100,18300,45000,0,0,0,ALABAMA,1,.39829788,.21033707
1987,2,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
1994,1,3,1,2528,8500,11000,25200,0,0,0,ALABAMA,1,.29741177,.17802817
1992,2,3,1,1384,7600,11800,22300,0,0,0,ALABAMA,1,.18210526,.13180952
1996,2,1,1,2152,6400,11600,25100,0,0,0,ALABAMA,1,.33625001,.15940741
1999,2,0,1,347,4600,5700,10200,0,0,0,ALABAMA,1,.075434782,.07711111
1992,1,2,1,1384,7600,11800,22300,0,0,0,ALABAMA,1,.18210526,.13180952
2000,2,1,1,2353,7000,12700,27400,0,0,0,ALABAMA,1,.33614287,.16006802
2020,1,3,1,6660,14800,19300,50900,0,0,0,ALABAMA,1,.44999999,.21075949
1992,1,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
1990,1,1,1,953,6900,10700,20200,0,0,0,ALABAMA,1,.13811594,.10031579
2007,2,1,1,2853,8400,17300,35200,0,0,0,ALABAMA,1,.33964285,.15938547
1991,1,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
1989,1,1,1,910,6500,10200,19300,0,0,0,ALABAMA,1,.14,.1
1983,1,1,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
2018,2,2,1,5716,14300,24300,51400,0,0,0,ALABAMA,1,.39972028,.21092251
2004,2,1,1,2604,7700,15000,31300,0,0,0,ALABAMA,1,.33818182,.1597546
2015,2,3,1,6242,13900,23600,53200,0,0,0,ALABAMA,1,.44906476,.21087837
2009,2,0,1,457,6000,12400,18400,0,0,0,ALABAMA,1,.076166667,.076166667
1981,1,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
2022,1,1,1,3618,11000,20100,43400,0,0,0,ALABAMA,1,.3289091,.15527897
1982,1,1,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
1981,1,3,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
1986,1,3,1,550,5000,6500,11000,0,0,0,ALABAMA,1,.11,.12222222
2010,2,2,1,5036,12600,21400,45300,0,0,0,ALABAMA,1,.39968255,.2107113
1996,2,3,1,3556,8900,11600,28500,0,0,0,ALABAMA,1,.39955056,.2104142
1979,1,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
2011,2,0,1,464,6100,12500,18600,0,0,0,ALABAMA,1,.07606557,.07606557
2006,1,3,1,4536,11400,14800,36300,0,0,0,ALABAMA,1,.39789474,.21097675
2002,1,1,1,2506,7400,13500,29200,0,0,0,ALABAMA,1,.33864865,.15961784
1989,2,3,1,910,6500,10200,19300,0,0,0,ALABAMA,1,.14,.1
2006,1,1,1,2747,8100,14800,32000,0,0,0,ALABAMA,1,.3391358,.1597093
2013,1,1,1,3250,9600,17500,37800,0,0,0,ALABAMA,1,.33854166,.16009852
1983,1,3,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
2015,1,0,1,503,6600,8200,14800,0,0,0,ALABAMA,1,.076212123,.076212123
2001,1,0,1,364,4800,5900,10700,0,0,0,ALABAMA,1,.075833336,.075833336
2003,1,1,1,2547,7500,13700,29600,0,0,0,ALABAMA,1,.3396,.16018867
2014,2,0,1,496,6500,13500,20000,0,0,0,ALABAMA,1,.076307692,.076307692
1990,1,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
2006,2,2,1,4536,11400,16800,38300,0,0,0,ALABAMA,1,.39789474,.21097675
1984,1,1,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
1982,1,3,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
1985,2,1,1,550,5000,6500,11000,0,0,0,ALABAMA,1,.11,.12222222
2002,2,2,1,4140,10400,14500,34100,0,0,0,ALABAMA,1,.39807692,.2112245
2010,1,2,1,5036,12600,16400,40300,0,0,0,ALABAMA,1,.39968255,.2107113
1985,1,0,1,0,0,0,0,0,0,0,ALABAMA,1,,
1979,2,3,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
2022,2,1,1,3618,11000,26200,49600,0,0,0,ALABAMA,1,.3289091,.15461539
1988,1,2,1,874,6300,9800,18500,0,0,0,ALABAMA,1,.13873015,.10045977
2004,1,2,1,4300,10800,14000,34400,0,0,0,ALABAMA,1,.39814815,.21078432
2016,1,0,1,506,6700,8200,14800,0,0,0,ALABAMA,1,.075522386,.076666668
1979,1,1,1,500,5000,6000,9900,0,0,0,ALABAMA,1,.1,.12820514
2000,2,0,1,353,4700,5800,10400,0,0,0,ALABAMA,1,.075106382,.076739132
1998,2,0,1,341,4500,5600,10000,0,0,0,ALABAMA,1,.075777777,.077500001
2018,2,0,1,519,6800,14100,20900,0,0,0,ALABAMA,1,.076323532,.076323532
